Col,20,40,60,80,100,120
99,ffffffffffffffff,ffffffffffffff7f,ffffffffffffff7f,ffffffffffffff7f,fbffffffffffff7f,fbffffffffffff7f
100,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
101,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffff7f
102,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffff7ff,fffffdfffffff7ff,fffffdfffffff7ff
103,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffff7fffffffff
104,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffdfffffffff,ffffffdfffffffff
105,ffffffffffffffff,ffffffffffffffff,ffffbdffffffffff,ffefbdffffffffff,ffefbdffffffffff,ffefbdffffffffff
106,ffffffffffffffff,ffffffffffffffff,ffefffffffffffff,ffefffffffffffff,ffefffffffffffff,ffefffffffffffff
107,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffff7fffff,ffff7fffff7fffff
108,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffdfffffffff,ffffffdfffffffff
109,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
110,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
111,ffffffffffffffff,fffffffffeffffff,7ffffffffeffffff,7ffffffffeffffff,7fffffbffeffffff,7fffffb7feffffff
112,ffffffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff
113,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffdff,fffffffffffffdff
114,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
115,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
116,ffffffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff
117,ffffffffffffffff,ffffffffffffffff,ffffffffefffffff,ffffffffefffffff,ffffffffefffffff,ffffffffefffffff
118,ffffffffffffffff,ffffffffffff7fff,ffffffffffff7fff,ffffffffffff7fff,ffffffffffff7fff,ffffffffffff7bff
119,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
120,ffffffffffffffff,fffffffdffffffff,fffffffdffffffff,fffffffdffffffff,ffffbffdffffffff,ffffbfedffffffff
121,ffffffffffffffff,ffffffffffffffff,fdffffffffffffef,fdffffffffffffef,fdffffffffffffef,fdffffffffffffef
122,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffefffffffffff,ffffefffffffffff,ffffefff7fffffff
123,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
124,ffffffffffffffff,fffffffdffffffff,fffffffdffffffff,fffffffdffffffff,ffffbffdffffffff,ffffbfedffffffff
125,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
126,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffefff
127,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffbffff,fffffffffffbffff,ffffffffffbbffff
128,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff
129,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffef,ffffffffffffffef,ffffffffffffffef
130,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffbfffffffffff,ffffbfbbbfffffff,ffffbfbbbfffffff
131,ffffffffffffffff,ffffffffffffffff,ffffffffeeffffff,ffffffffeeffffff,ffffdfffeeffffff,ffffddffeeffffff
132,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff
133,ffffffffffffffff,ffffffffffffffff,fffffffffffffdff,fffffffffffffdff,fffffffffffffdff,fffffffffffffdff
134,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,dfffffffffffffff,dfffffffffffffff,dfffffffffffffff
135,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffdfffffffffffff
136,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffefffffffffff,ffffefffffefffff,ffffefffffefffff
137,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffeffffffffffff,fffeffffffffffff
138,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
139,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
140,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffefffffffffff,ffffefffffefffff,ffffefffffefffff
141,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
142,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffefffffffffff,ffffefffffffffff,ffffefffefffffff
143,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
144,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
145,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffbf
146,ffffffffffffffff,ffffefffffffffff,ffffefffffffffff,ffffefffffffffff,ffffefffffffffff,fffeefffffffffff
147,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
148,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
149,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffdff,fffffffffffffdff,fffffffffffffdff
150,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffdfffffffffffff,ffdfffffffffffff
151,fffffffffffeffff,fffffffffffeffff,fffffffffffeffff,fffffffffffeffff,ff7ffffffffeffff,fe7fff7ffffeffff
152,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
153,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffff7ff,fbfffffffffff7ff
154,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffdfffffff,ffffffffdfffffff,ffffffffdbffffff
155,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffbf,ffffffffffffffbf
156,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
157,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffbffffffffffff
158,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
159,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
160,ffffffffffffffff,ffffffffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff
161,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,7fffffffffffffff
162,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff
163,ffffffffffffffff,ffffffffffffffff,ffffffffffffff7f,ffffffffffffff7f,ffffffffffffff7f,ffffffffffffff7f
164,ffffffffffffffff,ffffffffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff,ffffdfffffffffff
165,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,fffe7fffffffffff,fffe7ffffbffffff,fffe7ffffbfffffd
166,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
167,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fdffffffffffffff,fdffffffffffffff
168,ffffffffffffffff,ffffffffffffffff,ffffffffffffffdf,ffffffffffffffdf,ffffffffffffffdf,ffffffffffffffdf
169,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
170,ffffffffffffffff,ffffffffffffffff,ffffffefffffffff,ffffffefffffffff,ffffffefffffffff,ffffffefffffffff
171,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
172,ffffffffffffffff,ffffffffffffffff,ffffffffffffffdf,ffffffffffffffdf,ffffffffffffffdf,ffffffffffffffdf
173,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff77ffffff7fff
174,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffefffffffffffff,ffefffffffffffff
175,ffffffffffffffff,ffffffffffffffff,fffffffffffffbff,fffffffffffffbff,fffffffffffffbff,fffff7fffffffbff
176,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffdffbff,ffffffffffdffbff,ffffffffffdffbff
177,ffffffffffffffff,ffffffffffffffff,ffffffffbfffffff,dfffffffbfffffff,dfffffffbfffffff,dfffffffbfffffff
178,ffffffffffffffff,ffffffffdfffffff,ffffffffdffffff7,ffffffffdffffff7,ffffffffdffbfff7,ffffffffdffbfff7
179,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff
180,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffdffbff,ffffffffffdffbff,ffffffffffdffbff
181,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
182,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffefffffffff,ffffffefffffffff,ffffffefffffffff
183,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
184,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffefff,ffffffffffffefff
185,ffffffffffffffff,ffffffffffffffff,ffffffffdfffffff,ffffffffdfffffff,ffffffffdfffffff,ffffffffdfffffff
186,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffff7ffffff,ffbffffff7ffffff,ffbffffff7ffffff
187,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffbfffffffff,ffffffbffffffbff,fbffffbffffffbff
188,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffefff,ffffffffffffefff
189,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffffd
190,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffeffffffefffff,fffeffffffefffff
191,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffffd,fffffffffffffffd
192,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffffb,ffffffffdffffffb
193,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
194,ffffffffffffffff,ffffffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff,ffdfffffffffffff
195,ffffffffffffffff,ffffffffffffffff,fffeffffffffffff,fffefffffffeffff,fffefffffffeffff,fffefff7fffeffff
196,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffffb,ffffffffdffffffb
197,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffeffffffffffff
198,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffdff
